"filename", "language", "Python", "pip requirements", "Shell Script", "Markdown", "Ini", "comment", "blank", "total"
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/vfbd/create_vfbd_report_uc.py", "Python", 6, 0, 0, 0, 0, 0, 4, 10
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/zone/create_zone_uc.py", "Python", 5, 0, 0, 0, 0, 0, 4, 9
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/zone/get_specific_growing_uc.py", "Python", 5, 0, 0, 0, 0, 0, 3, 8
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/zone/list_zone_level_uc.py", "Python", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/zone/list_zone_uc.py", "Python", 13, 0, 0, 0, 0, 0, 4, 17
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/zone/update_status_zone_level_uc.py", "Python", 6, 0, 0, 0, 0, 0, 4, 10
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/zone/update_status_zone_uc.py", "Python", 5, 0, 0, 0, 0, 0, 4, 9
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/zone/update_zone_uc.py", "Python", 5, 0, 0, 0, 0, 0, 4, 9
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/use_cases/auth/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/use_cases/auth/login_uc_impl.py", "Python", 28, 0, 0, 0, 0, 2, 8, 38
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/use_cases/dd/create_dd_report_uc_impl.py", "Python", 77, 0, 0, 0, 0, 0, 16, 93
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/use_cases/department/create_department_factory_role_uc_impl.py", "Python", 55, 0, 0, 0, 0, 3, 13, 71
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/use_cases/department/create_department_factory_uc_impl.py", "Python", 57, 0, 0, 0, 0, 0, 14, 71
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/use_cases/department/create_department_uc_impl.py", "Python", 30, 0, 0, 0, 0, 0, 9, 39
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/use_cases/department/list_department_factory_role_uc_impl.py", "Python", 32, 0, 0, 0, 0, 0, 4, 36
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/use_cases/department/list_department_factory_uc_impl.py", "Python", 19, 0, 0, 0, 0, 0, 4, 23
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/use_cases/department/list_department_uc_impl.py", "Python", 20, 0, 0, 0, 0, 0, 4, 24
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/use_cases/department/update_department_uc_impl.py", "Python", 31, 0, 0, 0, 0, 0, 14, 45
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/use_cases/department/update_status_department_factory_role_uc_impl.py", "Python", 42, 0, 0, 0, 0, 0, 13, 55
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/use_cases/department/update_status_department_factory_uc_impl.py", "Python", 34, 0, 0, 0, 0, 0, 12, 46
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/use_cases/department/update_status_department_uc_impl.py", "Python", 29, 0, 0, 0, 0, 0, 12, 41
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/use_cases/diet/create_diet_uc_impl.py", "Python", 17, 0, 0, 0, 0, 0, 9, 26
